sample-id	alias	batch	time_point	env_biome	env_feature	env_material	geo_loc_name
SRR1930853	B2-DR	B2	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930852	B2-45	B2	45	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930850	B2-10	B2	10	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930851	B2-25	B2	25	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930849	B2-PS	B2	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930848	B1-DR	B1	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930876	D12-20	D12	20	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930881	D13-20	D13	20	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930898	E5-DR	E5	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930897	E5-45	E5	45	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930895	E5-5	E5	5	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930896	E5-25	E5	25	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930893	E3-DR	E3	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930892	E3-45	E3	45	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930891	E3-25	E3	25	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930890	E3-5	E3	5	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930889	E3-PS	E3	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930894	E5-PS	E5	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930888	E2-DR	E2	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930887	E2-45	E2	45	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930885	E2-5	E2	5	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930884	E2-PS	E2	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930886	E2-25	E2	25	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930883	D13-64	D13	64	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930880	D13-6	D13	6	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930882	D13-40	D13	40	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930879	D13-PS	D13	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930878	D12-64	D12	64	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930877	D12-40	D12	40	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930874	D12-PS	D12	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930875	D12-6	D12	6	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930872	D11-40	D11	40	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930873	D11-64	D11	64	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930871	D11-20	D11	20	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930870	D11-6	D11	6	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930868	C3-DR	C3	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930869	D11-PS	D11	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930867	C3-39	C3	39	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930866	C3-25	C3	25	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930865	C3-6	C3	6	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930864	C3-PS	C3	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
