sample-id	alias	compartment	env_biome	plant_id	cultivar	collection_date	geo_loc_name
SRR1523640	FieldRun1	Endosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1523641	FieldRun1	Rhizosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1523649	FieldRun1	Rhizoplane	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524309	FieldRun1	Endosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524310	FieldRun1	Rhizosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524311	FieldRun1	Rhizoplane	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524312	FieldRun1	Endosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524331	FieldRun1	Rhizoplane	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524332	FieldRun1	Endosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524333	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524334	GHRun1	Rhizosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Arbuckle, California
SRR1524335	GHRun1	Rhizoplane	Greenhouse Soil		Nipponebare	2013-05-06	USA: Arbuckle, California
SRR1524336	FieldRun1	Endosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524337	FieldRun1	Rhizosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524338	FieldRun1	Endosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524339	FieldRun1	Rhizosphere	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524340	FieldRun1	Rhizoplane	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524341	FieldRun1	Endosphere	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524342	FieldRun1	Rhizosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524343	FieldRun1	Rhizoplane	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524344	FieldRun1	Endosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524345	FieldRun1	Rhizosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524346	FieldRun1	Rhizoplane	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524347	FieldRun1	Endosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524348	FieldRun1	Rhizosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524349	FieldRun1	Rhizoplane	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524350	FieldRun1	Endosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524351	FieldRun1	Rhizosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524352	FieldRun1	Rhizoplane	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524353	FieldRun1	Endosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524354	FieldRun1	Rhizosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524355	FieldRun1	Rhizoplane	Rice Paddy	3		2013-07-08	USA: California, Central Valley
