sample-id	alias	treatment	collection_date	depth_m	environment_biome	latitude	longitude	annual_precipitation_mm	annual_temperature_c
ERR1039459	CiPEHR-AK-2010_C2	C	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039460	CiPEHR-AK-2010_C3	C	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039461	CiPEHR-AK-2010_C4	C	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039462	CiPEHR-AK-2010_C5	C	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039463	CiPEHR-AK-2010_C6	C	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039464	CiPEHR-AK-2010_T1	T	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039465	CiPEHR-AK-2010_T2	T	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039466	CiPEHR-AK-2010_T3	T	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039467	CiPEHR-AK-2010_T4	T	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039468	CiPEHR-AK-2010_T5	T	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039469	CiPEHR-AK-2010_T6	T	2010-05	0.15	tundra	63.88306	-149.22556	378	0
ERR1039471	KFFL-OK-2010_3C	C	2010-10	0.1	temperate grassland	34.98167	-97.52056	967	16.3
ERR1039472	KFFL-OK-2010_6C	C	2010-10	0.1	temperate grassland	34.98167	-97.52056	967	16.3
ERR1039473	KFFL-OK-2010_19C	C	2010-10	0.1	temperate grassland	34.98167	-97.52056	967	16.3
ERR1039474	KFFL-OK-2010_23C	C	2010-10	0.1	temperate grassland	34.98167	-97.52056	967	16.3
ERR1039475	KFFL-OK-2010_1H	H	2010-10	0.1	temperate grassland	34.98167	-97.52056	967	16.3
ERR1039476	KFFL-OK-2010_10H	H	2010-10	0.1	temperate grassland	34.98167	-97.52056	967	16.3
ERR1039477	KFFL-OK-2010_16H	H	2010-10	0.1	temperate grassland	34.98167	-97.52056	967	16.3
