,mean,sd,min,max,n_iterations,cv_percent,range,range_percent
SRR1930804,1.7734229213604131,0.007491481125090167,1.7517885604157253,1.7930233700747231,100,0.42243060213428196,0.04123480965899784,2.32515375561776
SRR1930805,2.2888254650401136,0.008071629545159435,2.263912036758852,2.3048886495307745,100,0.35265378109632195,0.04097661277192266,1.790289971769626
SRR1930806,1.503662189189078,0.009702881802680882,1.4802154905312583,1.5252460752022674,100,0.6452833536975234,0.045030584671009066,2.994727472351617
SRR1930807,2.2052166497324297,0.007145134282187891,2.190068211585913,2.222316868396353,100,0.3240105357927008,0.03224865681043987,1.4623804338840252
SRR1930808,2.2549458732246723,0.007605124722032292,2.2385871582679755,2.280059984169068,100,0.3372641805879193,0.04147282590109258,1.8391938535440147
SRR1930809,1.8490796225195436,0.011371358548250339,1.8185689284094604,1.8826946020981208,100,0.61497398001476,0.0641256736886604,3.467977955502164
SRR1930810,1.9307406770053073,0.007009770082791516,1.917259930781296,1.950048610972396,100,0.36306119026114286,0.03278868019109993,1.6982436109419474
SRR1930811,2.190684303789464,0.010503497265513096,2.171088781754968,2.22182862959035,100,0.47946193102055185,0.05073984783538199,2.3161643029811176
SRR1930812,1.99023230794226,0.008742620420933392,1.9691720107431452,2.010045512819697,100,0.4392763792470316,0.040873502076551604,2.0537050832428463
SRR1930813,2.0363047654324027,0.01007280947058016,2.005043248931449,2.0611740088917383,100,0.4946611942167327,0.05613075996028938,2.7565009380297845
SRR1930814,1.999998657324592,0.0021304868359167724,1.9935456139661585,2.0048216255923137,100,0.10652441330969369,0.011276011626155213,0.5638009598086026
SRR1930815,2.251121544827677,0.009673515879154566,2.227404503065802,2.275409278260613,100,0.42971983904561095,0.04800477519481117,2.13248259762384
SRR1930816,1.8647038628915258,0.00859775220708723,1.8466657503210648,1.888754563311968,100,0.4610786934154263,0.04208881299090317,2.257131216837704
SRR1930817,1.837315273312359,0.010231254663624602,1.81115168053032,1.857994083132672,100,0.5568589567744372,0.04684240260235195,2.549502705537481
SRR1930818,1.8163049606321267,0.008805425759513538,1.798086498776832,1.8332876930314423,100,0.48479886089442786,0.035201194254610435,1.9380662949001364
SRR1930819,1.9807436511981285,0.009954319613194451,1.9593234906795705,2.011135359500367,100,0.5025546646166554,0.05181186882079669,2.6157786137270365
SRR1930820,2.1365187355631714,0.009548009499395648,2.114934268070312,2.1648036057347504,100,0.4468956597695765,0.04986933766443835,2.3341399649038483
SRR1930821,1.9766640434854879,0.008745194499561966,1.9508492524530003,1.996136284330019,100,0.4424218940180347,0.04528703187701866,2.291083911111329
SRR1930822,1.8266100283724414,0.008693269771313033,1.8071407241985675,1.844349704761636,100,0.47592368575020744,0.03720898056306843,2.0370511485816505
SRR1930823,1.8757721526374447,0.01138379586142972,1.8468191384026829,1.9040210207844932,100,0.6068858547357919,0.05720188238181034,3.049511226690362
SRR1930824,1.6822270108978838,0.006785268204443934,1.661798042433269,1.6987197048584863,100,0.4033503302757168,0.03692166242521733,2.1948085594886804
SRR1930825,2.0085940108645737,0.006466693959590517,1.9901655135862344,2.022881033834545,100,0.32195127161645826,0.03271552024831048,1.6287771481618876
SRR1930826,2.571314578806571,0.008228588906737977,2.548649016036199,2.5937571058922737,100,0.32001486611401414,0.04510808985607451,1.754281262505446
SRR1930827,2.076138149646859,0.008251929382659387,2.0570897224018814,2.09951837260576,100,0.3974653316814683,0.042428650203878426,2.0436332818745866
SRR1930828,1.902563424109292,0.009096973990235438,1.868029591312746,1.9255082525136944,100,0.47814300826761125,0.057478661200948356,3.021116693014199
SRR1930829,2.502104047875651,0.007230677496914082,2.48834332110094,2.5174366148756664,100,0.2889838855044061,0.02909329377472636,1.1627531556662198
SRR1930830,2.0988197005356977,0.007997521545329291,2.070156967074622,2.1153033045408085,100,0.38104852662132066,0.04514633746618646,2.151034576941669
SRR1930831,1.7024883666445907,0.007806192449414578,1.6863109577413642,1.7204433732017814,100,0.4585166396643102,0.03413241546041723,2.0048545487384626
SRR1930832,2.1308762284253344,0.008751632470830821,2.107046718895208,2.1538733424399643,100,0.41070580984884625,0.04682662354475653,2.1975290221037502
SRR1930833,2.0017100143505973,0.00729969674176051,1.9858465007308808,2.0188085847100634,100,0.3646730390230229,0.032962083979182655,1.6466962618397223
SRR1930834,2.11120830316104,0.011392125553355833,2.081632446108835,2.1388508448810164,100,0.5396021575085127,0.05721839877218127,2.710220430949903
SRR1930835,2.273069619841246,0.008933870240004721,2.2505343326022587,2.299110961826195,100,0.3930310872145075,0.04857662922393624,2.137049776210941
SRR1930836,1.8636086777724188,0.007784468944725974,1.845089569253567,1.8849281036776715,100,0.41770941708807613,0.039838534424104566,2.137709214346639
SRR1930837,2.2403606431129894,0.008667799768315667,2.2170595286109727,2.2603480145938857,100,0.38689305648003736,0.043288485982913016,1.932210607072775
SRR1930838,2.1054003337799223,0.008094593403097424,2.085704379879285,2.122005202576528,100,0.38446813526265705,0.036300822697242996,1.724176733270981
SRR1930839,2.269660198289972,0.008439234752268597,2.2485417530865823,2.289783966287321,100,0.371828115883909,0.04124221320073884,1.8171095934013348
SRR1930840,1.720724285749993,0.007400154818592431,1.704423127870215,1.7418061213991027,100,0.43006046232252765,0.03738299352888763,2.172515018150855
SRR1930841,1.9441385766508836,0.009941981408390383,1.917160279841223,1.965965284019489,100,0.5113823432029816,0.04880500417826594,2.510366532736624
SRR1930842,2.3511970073918986,0.006639265154325436,2.334656270506989,2.363560173642996,100,0.2823780879888982,0.028903903136006992,1.2293271489005972
SRR1930843,2.4171518426898317,0.008584228126157794,2.388849560530598,2.4418264316051626,100,0.35513814128471033,0.05297687107456461,2.191706376857624
SRR1930844,3.0496071391849933,0.008139430191679346,3.0312867442085287,3.0709326006098,100,0.2669009423244794,0.039645856401271384,1.300031597245891
SRR1930845,1.6229910447064184,0.0074541231518847895,1.6057883796860684,1.6382361319128529,100,0.4592830734462346,0.03244775222678453,1.999256393472829
SRR1930846,1.5499800619942397,0.009373195269537535,1.5256326545690229,1.5740491302273578,100,0.6047300542355215,0.048416475658334956,3.1236837715216295
SRR1930847,1.4280713242912149,0.008264706387139624,1.4051895363653304,1.4542259338086372,100,0.578732045560931,0.04903639744330679,3.433749884141445
SRR1930848,1.5899103282502958,0.008152565955025138,1.571761836993046,1.6125346711910316,100,0.5127689159675488,0.04077283419798561,2.5644738243103506
SRR1930849,1.7388244428338526,0.010099205595942068,1.7045560574015473,1.7574597553727591,100,0.5808065119836289,0.05290369797121186,3.042497946773278
