,mean,sd,min,max,n_iterations,cv_percent,range,range_percent
ERR1039459,7.064955020593414,0.012600108959435087,7.027114402809041,7.093435610595352,100,0.17834662673304255,0.06632120778631112,0.9387350321834113
ERR1039460,7.095868415286228,0.012019912798023384,7.068002070853971,7.119440434144899,100,0.16939311856642614,0.0514383632909281,0.7249058223813359
ERR1039461,6.791602441952639,0.014168613915846267,6.760743821777317,6.836941563378405,100,0.20861960099909319,0.07619774160108772,1.1219405472028816
ERR1039462,6.26431637350774,0.01816427071209564,6.222003132774241,6.302832048984954,100,0.289964133818555,0.08082891621071298,1.2903070565296553
ERR1039463,6.687386220022291,0.012149236069626198,6.658708935494994,6.722228954098161,100,0.18167391070147731,0.06352001860316658,0.9498482144336932
ERR1039464,7.163285749327994,0.011650348015252578,7.135289287663112,7.19344839067812,100,0.16263972181125858,0.05815910301500793,0.8119053888149581
ERR1039465,7.207795791877147,0.012404760084775885,7.174882717400616,7.23870702148988,100,0.17210199127388537,0.06382430408926432,0.8854899047111096
ERR1039466,6.368662494120341,0.014115969427758343,6.334857558773284,6.408391324404485,100,0.22164731512763397,0.07353376563120051,1.1546186612823046
ERR1039467,7.431163774810264,0.011434033031225413,7.402371191358641,7.461413872421629,100,0.1538659808573167,0.05904268106298716,0.7945280557956033
ERR1039468,6.691782589502914,0.011464679464856947,6.667691933214637,6.719308750089507,100,0.17132474511113155,0.051616816874870075,0.7713462920304517
ERR1039469,6.6652986236102345,0.012008185469463003,6.633541949673872,6.687238758678269,100,0.1801597519866081,0.05369680900439722,0.8056174529703598
ERR1039471,9.42320881933826,0.0090888848746842,9.404324198325789,9.44753962900754,100,0.09645212208427387,0.0432154306817516,0.4586063145821954
ERR1039472,9.126324559650445,0.00907543369040675,9.108601085122569,9.149200736388282,100,0.09944237278752177,0.04059965126571363,0.4448631100105065
ERR1039473,9.438257762338905,0.006413338812039177,9.419285288482156,9.455351762834097,100,0.0679504520170032,0.03606647435194077,0.3821306353366969
ERR1039474,8.767868882588456,0.010487848029795107,8.739722052964614,8.796343516063786,100,0.11961684384471404,0.056621463099171265,0.645783643179384
ERR1039475,9.289066801703136,0.007954905252315307,9.272111162108922,9.308234177617615,100,0.08563729190597259,0.0361230155086929,0.38887668998213903
ERR1039476,9.460115319238737,0.007613873848193689,9.44184809438183,9.477480978835631,100,0.08048394328459818,0.03563288445380053,0.37666437724427165
ERR1039477,9.41440450114519,0.008217218318393478,9.392133366365684,9.432202101510688,100,0.08728346352011873,0.0400687351450042,0.42561093630648805
